"WorldIndex","WorldNameKey","LevelNameKey","DisplayName","CubeCount","IsHubLike","IsExcludedFromAp"
"-2","world_name_tutorial_hidden","level_hub_01","","0","True","False"
"-2","world_name_tutorial_hidden","level_hub_02","","0","True","False"
"-2","world_name_tutorial_hidden","level_hub_03","","11","True","False"
"-2","world_name_tutorial_hidden","level_hub_final","","3","True","False"
"0","world_0","level_training_01","Sweet Discovery","0","False","False"
"0","world_0","level_training_02","Tubes Of Speed","0","False","False"
"0","world_0","level_training_03","Cubes Of Despair","16","False","False"
"0","world_0","level_a1","Speedy Luke","9","False","False"
"0","world_0","level_a0","Tunnel","0","False","False"
"0","world_0","Level_A10","Jump!","0","False","False"
"0","world_0","level_a71","Aggressive","0","False","False"
"0","world_0","level_a36","Swing Swing Tower","14","False","False"
"0","world_0","level_a9","Walk!","0","False","False"
"0","world_0","level_a77","Skeleton Path","0","False","False"
"0","world_0","level_a35","Gotta Go Play","42","False","False"
"0","world_0","Level_F16","","0","False","True"
"1","world_1","level_a27","DNA","0","False","False"
"1","world_1","level_a5","Trail","0","False","False"
"1","world_1","level_a7","Bridge","19","False","False"
"1","world_1","level_a18","Spaaace!","0","False","False"
"1","world_1","level_a3","Phoenix","0","False","False"
"1","world_1","level_a12","Finger Game","0","False","False"
"1","world_1","level_a70_phoenix","Foliage","12","False","False"
"1","world_1","level_a42","Pull Up","35","False","False"
"1","world_1","level_a26","Navigation","0","False","False"
"1","world_1","level_a49","Vortex","3","False","False"
"1","world_1","level_a25","Bark","16","False","False"
"1","world_1","level_a2","Take Off","32","False","False"
"1","world_1","Level_F19","","0","False","True"
"2","world_2","level_a11","Hook!","0","False","False"
"2","world_2","level_a51","Apura","0","False","False"
"2","world_2","level_a52","Sneaked","5","False","False"
"2","world_2","level_a20","Thinking With Hooks","0","False","False"
"2","world_2","level_m1","Evacuation","10","False","False"
"2","world_2","level_a38","Emulsion","0","False","False"
"2","world_2","level_a57","Yo-Yo","0","False","False"
"2","world_2","level_a13","Thinking With Timers","0","False","False"
"2","world_2","level_a6","On The Run","0","False","False"
"2","world_2","level_a8","Pilgrimage","0","False","False"
"2","world_2","level_a75","Open Jail","0","False","False"
"2","world_2","level_a4","Eagle","0","False","False"
"2","world_2","Level_F02","","0","False","True"
"3","world_3","level_a45","Workout","0","False","False"
"3","world_3","Level_A74","Climbing","0","False","False"
"3","world_3","level_a62","Fun Fair","10","False","False"
"3","world_3","level_a47","Lacking Strength","12","False","False"
"3","world_3","level_a61","Capital","0","False","False"
"3","world_3","Level_A39","Control Yourself","0","False","False"
"3","world_3","level_a69","Xitra","0","False","False"
"3","world_3","level_m2","High Classic Jump","0","False","False"
"3","world_3","level_a16","Wasteland","15","False","False"
"3","world_3","level_a37","Aftermath","9","False","False"
"3","world_3","level_a46","Ride","0","False","False"
"3","world_3","level_a43","La Grange","0","False","False"
"3","world_3","Level_f08_prerelease","","0","False","True"
"4","world_4","level_a56","Clock","4","False","False"
"4","world_4","level_a70","Lerap","0","False","False"
"4","world_4","Level_A14","Big Bank","1","False","False"
"4","world_4","level_a40","Surf","9","False","False"
"4","world_4","level_a69_bis","Rotato","0","False","False"
"4","world_4","level_a53","Run - Gun - Grapple","23","False","False"
"4","world_4","level_a17","Purple Veins","0","False","False"
"4","world_4","level_a59","Rabator","1","False","False"
"4","world_4","Level_A31","Ascent","20","False","False"
"4","world_4","level_m4","Hover","0","False","False"
"4","world_4","level_a28","Inertia","0","False","False"
"4","world_4","level_a54","Athlete","17","False","False"
"5","world_5","level_a66","Hawk","0","False","False"
"5","world_5","level_a41","Globular Ranch","0","False","False"
"5","world_5","level_a65","Trial of Execution","46","False","False"
"5","world_5","level_a29","Learn to Fly","0","False","False"
"5","world_5","level_a72","Parangon","7","False","False"
"5","world_5","level_a79","Carpenter","0","False","False"
"5","world_5","level_a67","Field","0","False","False"
"5","world_5","level_a32","Urban Jungle","0","False","False"
"5","world_5","level_a58","Neo","0","False","False"
"5","world_5","level_a63","Catacomb","0","False","False"
"5","world_5","level_a64","Wool","10","False","False"
"5","world_5","level_a78","Cluster","0","False","False"
"6","world_6","level_a50","Speed It Up","4","False","False"
"6","world_6","level_a55","You're Burning","0","False","False"
"6","world_6","level_a30","Wall Jump","0","False","False"
"6","world_6","level_a68","Mist","0","False","False"
"6","world_6","Level_A21","Master AirBender","0","False","False"
"6","world_6","level_a33","Try Harder","0","False","False"
"6","world_6","level_a73","Eazywi","13","False","False"
"6","world_6","level_a60","The Game","134","False","False"
"6","world_6","Level_A44","Cube of Death","0","False","False"
"6","world_6","level_a48","Koma","0","False","False"
"6","world_6","level_a34","One More Time","0","False","False"
